model,gpu,split,b0,b1,b2,epoch_to_92acc,step_to_92acc,loss_92acc,epoch_steps,gpu_type,num_layers
resnet56,NVIDIA A100-PCIE-40GB,val,0.0072317815090395055,0.5082540450436716,0.5378531427371387,48,3714,0.3107026,79,2,56
resnet18,Tesla V100-PCIE-32GB,val,15074.454973779833,4.842780600192235e-15,1.4893283720416415,-1,-1,-1.0,79,1,18
resnet50,Quadro RTX 8000,train,0.0002370625350527783,0.4595429024524215,5.166571856520114e-18,35,13295,0.2458373,391,0,50
resnet56,Quadro RTX 8000,val,0.006419120462823315,0.5410298569197748,0.536002680879759,64,4978,0.4395517,79,0,56
resnet50,Tesla V100-PCIE-32GB,train,0.00023322522627446755,0.46505952542573686,6.178933073121084e-18,28,10558,0.2586279,391,1,50
resnet44,Tesla V100-PCIE-32GB,val,0.006193701964944595,0.6156885169411,0.5165395559644306,60,4662,0.3263167,79,1,44
resnet50,NVIDIA A100-PCIE-40GB,train,0.0002355107558560184,0.46312993793794355,4.789916513205453e-18,32,12122,0.2285489,391,2,50
resnet18,NVIDIA A100-PCIE-40GB,train,0.000271060866568313,0.5496288930860209,1.1095504393298658e-20,27,10167,0.227245,391,2,18
resnet20,NVIDIA A100-PCIE-40GB,train,0.00011698115752292123,0.6774311113080088,0.036290899392658255,58,22288,0.3083844,391,2,20
resnet20,Tesla V100-PCIE-32GB,train,0.0001156862826386464,0.6772954488989825,0.03292358558207409,65,25025,0.2785245,391,1,20
resnet44,Quadro RTX 8000,val,0.005784263145296356,0.564237729373776,0.5036776464627982,48,3714,0.3148274,79,0,44
resnet20,Tesla V100-PCIE-32GB,val,0.00330913475677856,0.6152716488373541,0.47104595542649097,98,7664,0.3984632,79,1,20
resnet56,Quadro RTX 8000,train,0.00018145682337798795,0.5943588495444923,7.921436897429067e-18,43,16423,0.2347782,391,0,56
resnet44,Quadro RTX 8000,train,0.00016400919196394022,0.6297342069528586,3.023622459875553e-17,45,17205,0.2277677,391,0,44
resnet32,Tesla V100-PCIE-32GB,train,0.00013684707658065214,0.6529592394487146,4.390594096950451e-16,40,15251,0.2137125,391,1,32
resnet18,Quadro RTX 8000,val,14190.355526525178,1.761914987659488e-14,1.4701868437559393,-1,-1,-1.0,79,0,18
resnet50,NVIDIA A100-PCIE-40GB,val,15077.103607778921,1.2288394097641835e-14,1.7316702554360441,-1,-1,-1.0,79,2,50
resnet32,Quadro RTX 8000,train,0.00013778332646429664,0.6542840080784148,1.2293204172748921e-14,49,18769,0.2116703,391,0,32
resnet44,NVIDIA A100-PCIE-40GB,val,0.006523149997775299,0.6016102716158707,0.5284624782708808,40,3082,0.3413472,79,2,44
resnet32,NVIDIA A100-PCIE-40GB,train,0.00013531000416850742,0.6639689112730814,8.933287331504281e-16,63,24243,0.2033167,391,2,32
resnet56,Tesla V100-PCIE-32GB,val,0.006985672881755082,0.5944429677564843,0.5457042833641211,95,7427,0.4367958,79,1,56
resnet20,NVIDIA A100-PCIE-40GB,val,0.0028687164869633727,0.6172304912509626,0.4385978491058117,90,7032,0.4337338,79,2,20
resnet18,Tesla V100-PCIE-32GB,train,0.0002757790854853999,0.5409714647475098,5.57394011171364e-20,29,10949,0.2095623,391,1,18
resnet18,Quadro RTX 8000,train,0.0002740154904894788,0.5473713709745751,2.6733709972723226e-20,31,11731,0.1715173,391,0,18
resnet32,Tesla V100-PCIE-32GB,val,0.0047564719640186765,0.5696337757502278,0.4845599247207669,87,6795,0.392498,79,1,32
resnet20,Quadro RTX 8000,val,0.0034594416129441513,0.6028435368595806,0.46754228074894394,97,7585,0.3619662,79,0,20
resnet50,Quadro RTX 8000,val,15963.918071998887,4.808917487166178e-14,1.763150787769027,-1,-1,-1.0,79,0,50
resnet32,NVIDIA A100-PCIE-40GB,val,0.004970339691965764,0.584172525169432,0.4905964019303211,33,2529,0.4101968,79,2,32
resnet56,NVIDIA A100-PCIE-40GB,train,0.00017885779123771558,0.6156932096635138,1.3863632393244567e-18,40,15250,0.2086566,391,2,56
resnet56,Tesla V100-PCIE-32GB,train,0.00016779727838717206,0.6305453321468533,1.664641723026897e-18,28,10558,0.2659903,391,1,56
resnet50,Tesla V100-PCIE-32GB,val,29266.171362277506,7.42258490276683e-07,1.779009832111929,-1,-1,-1.0,79,1,50
resnet32,Quadro RTX 8000,val,0.005166771933398843,0.5939095497796054,0.5055491370321277,66,5136,0.3682507,79,0,32
resnet44,Tesla V100-PCIE-32GB,train,0.0001633751551238173,0.647624295249195,8.308140995728001e-16,43,16423,0.2019954,391,1,44
resnet44,NVIDIA A100-PCIE-40GB,train,0.00015203372277940725,0.652535146403949,1.0773996478213364e-17,43,16423,0.235092,391,2,44
resnet20,Quadro RTX 8000,train,0.00011891940746820286,0.6714441747544563,0.034463919985704604,52,19942,0.2881944,391,0,20
resnet18,NVIDIA A100-PCIE-40GB,val,14406.108424514616,1.890440273849823e-17,1.4352792411828343,-1,-1,-1.0,79,2,18
